,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
2818,57640,2017-10-05 12:40:24,Moving,C17101283,Domestic Short Hair,Orange,Cat,7 years 0 months.,Male,Adoptable Cat Big Colony,2017-11-28 00:00:00,Foster
2819,57640,2017-10-05 12:40:24,Moving,C17101283,Domestic Short Hair,Orange,Cat,7 years 0 months.,Male,Adoptable Cat Big Colony,2017-12-22 00:00:00,Adoption
2820,57641,2017-10-05 13:21:59,Litter relinquishment,C17101287,Domestic Short Hair,White,Cat,1 year 3 months.,Female,Lobby,2017-10-10 00:00:00,Foster
2821,57641,2017-10-05 13:21:59,Litter relinquishment,C17101287,Domestic Short Hair,White,Cat,1 year 3 months.,Female,Lobby,2017-11-18 00:00:00,Adoption
2822,57642,2017-10-05 13:21:59,Litter relinquishment,C17101288,Domestic Short Hair,Black,Cat,1 year 3 months.,Male,Adoptable Cat Small Colony,2017-10-10 00:00:00,Foster
2823,57642,2017-10-05 13:21:59,Litter relinquishment,C17101288,Domestic Short Hair,Black,Cat,1 year 3 months.,Male,Adoptable Cat Small Colony,2017-11-27 00:00:00,Adoption
2824,57643,2017-10-05 13:21:59,Incompatible with owner lifestyle,C17101289,Domestic Short Hair,Multi colours,Cat,3 years 3 months.,Female,Adoptable Cat Big Colony,2017-12-01 00:00:00,Adoption
2825,57644,2017-10-05 13:38:07,Stray,C17101290,Domestic Short Hair,White mix,Cat,2 years 1 month.,Unknown,Stray Cats,2017-10-12 00:00:00,Transfer
2827,57647,2017-10-06 12:04:50,Stray,C17101291,Domestic Short Hair,Designer colors,Cat,1 year 5 months.,Male,Adoptable Cat Glass Colony,2017-11-03 00:00:00,Adoption
2829,57649,2017-10-06 13:38:54,Stray,C17101293,Domestic Short Hair,Grey,Cat,2 years 4 months.,Male,Adoptable Cat Small Colony,2017-10-27 00:00:00,Adoption
2830,57650,2017-10-06 14:38:36,Incompatible with owner lifestyle,C17101292,Domestic Short Hair,Black,Cat,1 year 6 months.,Male,Stray Cats,2017-10-10 00:00:00,Transfer
2831,57651,2017-10-06 15:06:47,TNR - Trap/Neuter/Release,C17101294,Domestic Short Hair,Black and other colours mix,Cat,8 years 1 month.,Male,Stray Cats,2017-10-08 00:00:00,Reclaimed
2832,57652,2017-10-06 16:40:12,Stray,C1710197,Domestic Short Hair,White mix,Cat,2 years 7 months.,Male,Adoptable Cat Big Colony,2017-12-09 00:00:00,Adoption
2841,57657,2017-10-07 13:05:48,Litter relinquishment,C17101295,Domestic Short Hair,Orange,Cat,1 year 4 months.,Male,Adoptable Cat Kennels,2017-11-14 00:00:00,Adoption
2842,57658,2017-10-07 13:05:48,Litter relinquishment,C17101296,Domestic Short Hair,Orange,Cat,1 year 4 months.,Male,Lobby,2017-11-03 00:00:00,Adoption
2843,57659,2017-10-07 13:05:48,Litter relinquishment,C17101297,Domestic Short Hair,Orange,Cat,1 year 4 months.,Male,Lobby,2017-10-15 00:00:00,Adoption
2844,57660,2017-10-07 13:05:48,Litter relinquishment,C17101298,Domestic Short Hair,Orange,Cat,1 year 4 months.,Female,Adoptable Cat Kennels,2017-10-17 00:00:00,Adoption
2845,57660,2017-10-07 13:05:48,Litter relinquishment,C17101298,Domestic Short Hair,Orange,Cat,1 year 4 months.,Female,Adoptable Cat Kennels,2017-11-18 00:00:00,Adoption
2846,57661,2017-10-07 13:19:49,Incompatible with owner lifestyle,C17101299,Domestic Short Hair,Black and other colours mix,Cat,5 years 6 months.,Female,Adoptable Cat Big Colony,2017-10-27 00:00:00,Adoption
2847,57661,2017-10-07 13:19:49,Incompatible with owner lifestyle,C17101299,Domestic Short Hair,Black and other colours mix,Cat,5 years 6 months.,Female,Adoptable Cat Big Colony,2017-12-27 00:00:00,Adoption
2849,57664,2017-10-07 14:26:42,Incompatible with owner lifestyle,C17101301,Domestic Short Hair,Black,Cat,3 years 1 month.,Female,Adoptable Cat Glass Colony,2017-11-14 00:00:00,Adoption
2850,57665,2017-10-07 14:26:42,Incompatible with owner lifestyle,C17101302,Domestic Short Hair,Black,Cat,1 year 5 months.,Male,Adoptable Cat Kennels,2017-10-16 00:00:00,Adoption
2851,57666,2017-10-07 14:40:38,Litter relinquishment,C17101303,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Adoptable Cat Small Colony,2017-10-10 00:00:00,Foster
2852,57666,2017-10-07 14:40:38,Litter relinquishment,C17101303,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Adoptable Cat Small Colony,2017-12-01 00:00:00,Adoption
2853,57667,2017-10-07 14:40:38,Litter relinquishment,C17101304,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Small Colony,2017-10-10 00:00:00,Foster
2854,57667,2017-10-07 14:40:38,Litter relinquishment,C17101304,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Small Colony,2017-11-29 00:00:00,Adoption
2855,57668,2017-10-07 15:02:09,Stray,C17101305,Domestic Short Hair,Black,Cat,4 years 8 months.,Male,Adoptable Cat Big Colony,2017-10-22 00:00:00,Adoption
2856,57668,2017-10-07 15:02:09,Stray,C17101305,Domestic Short Hair,Black,Cat,4 years 8 months.,Male,Adoptable Cat Big Colony,2019-06-21 00:00:00,Adoption
2860,57674,2017-10-10 11:50:08,Stray,C17101306,Domestic Short Hair,Designer colors,Cat,1 year 3 months.,Male,Lobby,2017-10-20 00:00:00,Adoption
2861,57675,2017-10-10 12:52:47,Owner Deceased,C17101307,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Lobby,2017-10-13 00:00:00,Adoption
2862,57675,2017-10-10 12:52:47,Owner Deceased,C17101307,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Lobby,2017-12-01 00:00:00,Adoption
2864,57678,2017-10-10 14:48:27,Stray,C17101308,Domestic Short Hair,Black,Cat,1 year 7 months.,Unknown,Stray Cats,2017-10-17 00:00:00,Transfer
2868,57684,2017-10-11 09:27:17,Stray,C17101310,Domestic Short Hair,Multi colours,Cat,3 years 1 month.,Female,Adoptable Cat Glass Colony,2017-10-27 00:00:00,Adoption
2871,57691,2017-10-11 14:39:14,Stray,C17101312,Domestic Medium Hair,Designer colors,Cat,3 years 1 month.,Male,Adoptable Cat Kennels,2017-11-07 00:00:00,Adoption
2872,57693,2017-10-11 16:04:15,Incompatible with owner lifestyle,C17101313,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Lobby,2017-10-13 00:00:00,Foster
2873,57693,2017-10-11 16:04:15,Incompatible with owner lifestyle,C17101313,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Lobby,2017-10-27 00:00:00,Adoption
2874,57694,2017-10-11 16:04:15,Incompatible with owner lifestyle,C17101314,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Lobby,2017-10-13 00:00:00,Foster
2875,57694,2017-10-11 16:04:15,Incompatible with owner lifestyle,C17101314,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Lobby,2017-10-27 00:00:00,Adoption
2879,57704,2017-10-12 12:12:05,Stray,C17101318,Domestic Short Hair,White,Cat,1 year 5 months.,Male,Special Care Cats,2017-10-31 00:00:00,Adoption
2881,57706,2017-10-12 13:46:23,Stray,C17101319,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Small Colony,2017-10-20 00:00:00,Foster
2882,57706,2017-10-12 13:46:23,Stray,C17101319,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Small Colony,2017-12-01 00:00:00,Adoption
2883,57708,2017-10-12 15:00:01,Stray,C17101320,Domestic Short Hair,Orange,Cat,9 years 6 months.,Male,Stray Cats,2017-10-17 00:00:00,Reclaimed
2885,57710,2017-10-13 09:02:40,TNR - Trap/Neuter/Release,C1710211,Domestic Short Hair,White mix,Cat,6 years 1 month.,Male,Stray Cats,2017-10-19 00:00:00,Transfer
2886,57712,2017-10-13 11:51:00,Stray,C17101321,Domestic Short Hair,White,Cat,2 weeks.,Unknown,Feline Nursery,2017-10-14 00:00:00,Foster
2887,57713,2017-10-13 11:54:02,Stray,C1710212,Domestic Short Hair,White,Cat,1 week.,Male,Feline Nursery,2017-10-14 00:00:00,Foster
2888,57714,2017-10-13 11:55:28,Stray,C1710213,Domestic Short Hair,White,Cat,1 week.,Male,Feline Nursery,2017-10-14 00:00:00,Foster
2889,57715,2017-10-13 11:56:36,Stray,C1710214,Domestic Short Hair,Black and other colours mix,Cat,1 week.,Male,Feline Nursery,2017-10-14 00:00:00,Foster
2890,57716,2017-10-13 11:58:16,Stray,C1710215,Domestic Short Hair,Points,Cat,1 year 7 months.,Male,Adoptable Cat Small Colony,2017-10-14 00:00:00,Foster
2891,57716,2017-10-13 11:58:16,Stray,C1710215,Domestic Short Hair,Points,Cat,1 year 7 months.,Male,Adoptable Cat Small Colony,2017-11-30 00:00:00,Foster
2892,57716,2017-10-13 11:58:16,Stray,C1710215,Domestic Short Hair,Points,Cat,1 year 7 months.,Male,Adoptable Cat Small Colony,2018-02-02 00:00:00,Adoption
2893,57717,2017-10-13 12:05:28,Moving,C17101317,Domestic Short Hair,Black and other colours mix,Cat,2 years 8 months.,Female,Adoptable Cat Middle Colony,2017-12-07 00:00:00,Adoption
2894,57718,2017-10-13 12:05:28,Moving,C17101322,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Male,Adoptable Cat Middle Colony,2017-12-07 00:00:00,Adoption
2896,57720,2017-10-13 13:03:08,Allergies,C17101323,Domestic Short Hair,Orange,Cat,2 years 5 months.,Male,Adoptable Cat Middle Colony,2017-10-27 00:00:00,Adoption
2898,57722,2017-10-13 13:51:22,Incompatible with owner lifestyle,C17101324,Domestic Short Hair,Multi colours,Cat,2 years 1 month.,Female,Adoptable Cat Small Colony,2017-10-27 00:00:00,Adoption
2899,57729,2017-10-13 14:35:41,Incompatible with owner lifestyle,C17101331,Domestic Short Hair,Points,Cat,3 years 1 month.,Female,Stray Cats,2017-10-14 00:00:00,Transfer
2907,57737,2017-10-14 10:21:52,Stray,C17101332,Domestic Short Hair,Multi colours,Cat,1 year 3 months.,Female,Feline Nursery,2017-10-27 00:00:00,Adoption
2910,57739,2017-10-14 12:05:21,Moving,C17101337,Domestic Short Hair,Multi colours,Cat,2 years 3 months.,Female,Stray Cats,2017-10-17 00:00:00,Transfer
2911,57740,2017-10-14 12:05:21,Moving,C17101338,Domestic Short Hair,Black and other colours mix,Cat,1 year 6 months.,Male,Adoptable Cat Big Colony,2017-12-10 00:00:00,Adoption
2913,57742,2017-10-14 13:25:59,Stray,C17101334,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Male,Adoptable Cat Kennels,2017-11-25 00:00:00,Foster
2914,57742,2017-10-14 13:25:59,Stray,C17101334,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Male,Adoptable Cat Kennels,2018-01-05 00:00:00,Adoption
2917,57744,2017-10-14 14:43:35,Landlord issues,C17101340,Domestic Short Hair,Black and other colours mix,Cat,2 years 1 month.,Female,Check-in,2017-10-17 00:00:00,Reclaimed
2918,57745,2017-10-14 16:14:22,Stray,C17101335,Domestic Short Hair,Black,Cat,1 year 7 months.,Female,Adoptable Cat Small Colony,2017-11-13 00:00:00,Adoption
2919,57746,2017-10-14 16:22:50,Incompatible with owner lifestyle,C17101341,Domestic Short Hair,Grey,Cat,1 year 4 months.,Male,Lobby,2017-10-23 00:00:00,Adoption
2922,57750,2017-10-16 12:20:03,Stray,C17101339,Domestic Short Hair,White mix,Cat,3 years 3 months.,Female,Adoptable Cat Small Colony,2017-10-19 00:00:00,Foster
2923,57750,2017-10-16 12:20:03,Stray,C17101339,Domestic Short Hair,White mix,Cat,3 years 3 months.,Female,Adoptable Cat Small Colony,2017-12-17 00:00:00,Adoption
2924,57751,2017-10-16 12:20:03,Stray,C17101342,Domestic Long Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Feline Nursery,2017-10-19 00:00:00,Foster
2925,57751,2017-10-16 12:20:03,Stray,C17101342,Domestic Long Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Feline Nursery,2017-12-16 00:00:00,Adoption
2926,57752,2017-10-16 12:20:03,Stray,C17101343,Domestic Medium Hair,Multi colours,Cat,1 year 1 month.,Female,Feline Nursery,2017-10-19 00:00:00,Foster
2927,57752,2017-10-16 12:20:03,Stray,C17101343,Domestic Medium Hair,Multi colours,Cat,1 year 1 month.,Female,Feline Nursery,2017-12-16 00:00:00,Adoption
2928,57753,2017-10-16 12:20:03,Stray,C17101344,Domestic Short Hair,Black and other colours mix,Cat,2 weeks.,Male,Feline Nursery,2017-10-19 00:00:00,Foster
2929,57754,2017-10-16 12:20:03,Stray,C17101345,Domestic Medium Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Feline Nursery,2017-10-19 00:00:00,Foster
2930,57754,2017-10-16 12:20:03,Stray,C17101345,Domestic Medium Hair,Black and other colours mix,Cat,1 year 1 month.,Male,Feline Nursery,2017-12-16 00:00:00,Adoption
2933,57758,2017-10-16 14:18:40,Stray,C17101347,Domestic Short Hair,White mix,Cat,1 year 4 months.,Male,Lobby,2017-10-26 00:00:00,Adoption
2952,57769,2017-10-16 16:25:34,Stray,C17101357,Domestic Short Hair,Black,Cat,2 years 3 months.,Female,Adoptable Cat Glass Colony,2017-11-07 00:00:00,Adoption
2953,57769,2017-10-16 16:25:34,Stray,C17101357,Domestic Short Hair,Black,Cat,2 years 3 months.,Female,Adoptable Cat Glass Colony,2019-03-22 00:00:00,Adoption
2954,57770,2017-10-16 16:37:23,Stray,C17101358,Domestic Short Hair,Black and other colours mix,Cat,2 years 8 months.,Male,Check-in,2017-10-17 00:00:00,Reclaimed
2966,57780,2017-10-17 13:56:56,Incompatible with owner lifestyle,C17101361,Domestic Short Hair,Multi colours,Cat,3 years 1 month.,Female,Adoptable Cat Middle Colony,2017-12-23 00:00:00,Adoption
2967,57781,2017-10-17 13:59:32,Incompatible with owner lifestyle,C17101362,Domestic Short Hair,Orange,Cat,5 years 1 month.,Female,Lobby,2017-11-21 00:00:00,Adoption
2968,57782,2017-10-17 14:16:29,Stray,C1710222,Domestic Long Hair,Designer colors,Cat,2 years 2 months.,Female,Adoptable Cat Kennels,2017-11-01 00:00:00,Adoption
2970,57785,2017-10-17 15:56:09,Stray,C17101363,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Female,Lobby,2017-10-26 00:00:00,Adoption
2974,57788,2017-10-17 18:20:10,Stray,C17101364,Domestic Short Hair,Black,Cat,1 year 8 months.,Male,Check-in,2017-10-18 00:00:00,Transfer
2976,57790,2017-10-18 12:04:31,Stray,C17101365,Domestic Short Hair,Brown,Cat,15 years 1 month.,Male,Adoptable Cat Middle Colony,2017-10-28 00:00:00,Adoption
2984,57796,2017-10-18 15:47:42,Incompatible with owner lifestyle,C17101366,Domestic Short Hair,Multi colours,Cat,1 year 4 months.,Female,Adoptable Cat Small Colony,2017-10-28 00:00:00,Adoption
2985,57797,2017-10-18 16:19:31,Stray,C17101368,Domestic Long Hair,Black and other colours mix,Cat,6 years 1 month.,Male,Stray Cats,2017-10-24 00:00:00,Reclaimed
2986,57798,2017-10-18 16:28:32,Stray,C17101369,Domestic Short Hair,Multi colours,Cat,1 year 4 months.,Female,Feline Nursery,2017-10-27 00:00:00,Adoption
2987,57799,2017-10-18 16:28:32,Stray,C17101370,Domestic Short Hair,Multi colours,Cat,1 year 4 months.,Female,Feline Nursery,2017-10-27 00:00:00,Adoption
2988,57800,2017-10-18 16:28:32,Stray,C17101371,Domestic Short Hair,Black,Cat,1 year 4 months.,Male,Feline Nursery,2017-10-24 00:00:00,Adoption
2989,57801,2017-10-18 16:28:32,Stray,C17101372,Domestic Short Hair,Multi colours,Cat,1 year 4 months.,Female,Feline Nursery,2017-10-27 00:00:00,Adoption
2996,57808,2017-10-19 12:33:47,Stray,C17101376,Domestic Short Hair,Black,Cat,8 years 10 months.,Male,Stray Cats,2017-10-19 00:00:00,Reclaimed
3011,57821,2017-10-20 18:08:07,Moving,C17101379,Domestic Long Hair,Black and other colours mix,Cat,7 years 3 months.,Male,Stray Cats,2017-11-13 00:00:00,Adoption
3012,57821,2017-10-20 18:08:07,Moving,C17101379,Domestic Long Hair,Black and other colours mix,Cat,7 years 3 months.,Male,Stray Cats,2018-01-09 00:00:00,Transfer
3014,57823,2017-10-21 12:05:14,Stray,C17101382,Domestic Short Hair,Multi colours,Cat,5 years 0 months.,Female,Adoptable Cat Kennels,2017-12-01 00:00:00,Adoption
3016,57825,2017-10-21 12:34:40,Stray,C17101383,Domestic Short Hair,Multi colours,Cat,6 years 1 month.,Female,Adoptable Cat Big Colony,2017-11-04 00:00:00,Foster
3017,57825,2017-10-21 12:34:40,Stray,C17101383,Domestic Short Hair,Multi colours,Cat,6 years 1 month.,Female,Adoptable Cat Big Colony,2018-01-22 00:00:00,Adoption
3025,57832,2017-10-21 16:46:35,Stray,C17101387,Domestic Medium Hair,Black,Cat,1 year 2 months.,Female,Adoptable Cat Kennels,2017-10-28 00:00:00,Foster
3026,57832,2017-10-21 16:46:35,Stray,C17101387,Domestic Medium Hair,Black,Cat,1 year 2 months.,Female,Adoptable Cat Kennels,2018-01-04 00:00:00,Adoption
3027,57833,2017-10-21 16:46:35,Stray,C17101388,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Adoptable Cat Kennels,2017-10-28 00:00:00,Foster
3028,57833,2017-10-21 16:46:35,Stray,C17101388,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Adoptable Cat Kennels,2018-01-04 00:00:00,Adoption
3029,57834,2017-10-21 16:46:35,Stray,C17101389,Domestic Medium Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Kennels,2017-10-28 00:00:00,Foster
3030,57834,2017-10-21 16:46:35,Stray,C17101389,Domestic Medium Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Adoptable Cat Kennels,2018-01-05 00:00:00,Adoption
3031,57835,2017-10-21 16:46:35,Stray,C17101390,Domestic Medium Hair,Black,Cat,1 year 2 months.,Female,Adoptable Cat Kennels,2017-10-28 00:00:00,Foster
3032,57835,2017-10-21 16:46:35,Stray,C17101390,Domestic Medium Hair,Black,Cat,1 year 2 months.,Female,Adoptable Cat Kennels,2018-01-04 00:00:00,Adoption
3035,57839,2017-10-22 13:32:05,Stray,C17101393,Domestic Medium Hair,Black,Cat,1 year 3 months.,Male,Adoptable Cat Small Colony,2017-12-01 00:00:00,Adoption
3036,57842,2017-10-23 12:10:43,Stray,C17101395,Domestic Short Hair,Orange,Cat,29 years 1 month.,Unknown,Check-in,2017-10-23 00:00:00,Reclaimed
3037,57843,2017-10-23 12:16:53,Stray,C17101396,Domestic Short Hair,Multi colours,Cat,1 year 10 months.,Female,Adoptable Cat Kennels,2017-12-12 00:00:00,Foster
3038,57843,2017-10-23 12:16:53,Stray,C17101396,Domestic Short Hair,Multi colours,Cat,1 year 10 months.,Female,Adoptable Cat Kennels,2018-01-16 00:00:00,Adoption
3040,57847,2017-10-23 13:44:16,Stray,C17101398,Domestic Short Hair,Black and other colours mix,Cat,1 year 4 months.,Female,Adoptable Cat Middle Colony,2017-12-13 00:00:00,Adoption
3041,57848,2017-10-23 13:47:43,Stray,C17101399,Domestic Short Hair,Grey,Cat,1 year 4 months.,Male,Adoptable Cat Glass Colony,2017-10-31 00:00:00,Adoption
3042,57849,2017-10-23 13:49:19,Stray,C17101400,Domestic Short Hair,Grey,Cat,1 year 11 months.,Male,Lobby,2017-10-28 00:00:00,Foster
3043,57849,2017-10-23 13:49:19,Stray,C17101400,Domestic Short Hair,Grey,Cat,1 year 11 months.,Male,Lobby,2017-12-09 00:00:00,Adoption
3044,57850,2017-10-23 13:49:19,Stray,C17101401,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-10-28 00:00:00,Foster
3045,57850,2017-10-23 13:49:19,Stray,C17101401,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-12-10 00:00:00,Adoption
3046,57851,2017-10-23 13:49:19,Stray,C17101402,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-10-29 00:00:00,Foster
3047,57851,2017-10-23 13:49:19,Stray,C17101402,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-12-07 00:00:00,Adoption
3048,57854,2017-10-24 09:28:58,Stray,C17101404,Domestic Short Hair,Orange,Cat,2 years 3 months.,Male,Adoptable Cat Kennels,2017-11-03 00:00:00,Adoption
3049,57857,2017-10-24 12:26:23,Allergies,C17101392,Domestic Long Hair,White mix,Cat,3 years 7 months.,Male,Adoptable Cat Middle Colony,2017-10-26 00:00:00,Adoption
3052,57860,2017-10-24 13:02:14,Allergies,C17101403,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-11-04 00:00:00,Foster
3053,57860,2017-10-24 13:02:14,Allergies,C17101403,Domestic Short Hair,White mix,Cat,1 year 2 months.,Female,Lobby,2017-12-09 00:00:00,Adoption
3054,57861,2017-10-24 14:15:39,Stray,C17101406,Domestic Short Hair,White mix,Cat,2 years 0 months.,Male,Adoptable Cat Kennels,2017-11-03 00:00:00,Adoption
3070,57875,2017-10-25 15:25:51,Stray,C17101412,Domestic Short Hair,Black and other colours mix,Cat,3 years 1 month.,Male,Adoptable Cat Small Colony,2017-12-01 00:00:00,Adoption
3071,57875,2017-10-25 15:25:51,Stray,C17101412,Domestic Short Hair,Black and other colours mix,Cat,3 years 1 month.,Male,Adoptable Cat Small Colony,2017-12-27 00:00:00,Adoption
3072,57876,2017-10-25 16:26:35,Stray,C17101413,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Feline Nursery,2017-10-27 00:00:00,Reclaimed
3080,57886,2017-10-27 12:44:46,Litter relinquishment,C17101418,Domestic Short Hair,Black and other colours mix,Cat,1 year 4 months.,Male,Adoptable Cat Glass Colony,2017-12-06 00:00:00,Adoption
3081,57888,2017-10-27 12:44:46,Litter relinquishment,C17101420,Domestic Short Hair,Black and other colours mix,Cat,1 year 4 months.,Male,Lobby,2017-11-29 00:00:00,Adoption
3082,57889,2017-10-27 12:44:46,Litter relinquishment,C17101421,Domestic Short Hair,White,Cat,1 year 4 months.,Male,Lobby,2017-12-01 00:00:00,Adoption
3084,57893,2017-10-27 15:58:00,Stray,C17101422,Domestic Short Hair,Grey,Cat,1 year 2 months.,Female,Adoptable Cat Small Colony,2017-11-04 00:00:00,Foster
3085,57893,2017-10-27 15:58:00,Stray,C17101422,Domestic Short Hair,Grey,Cat,1 year 2 months.,Female,Adoptable Cat Small Colony,2017-11-22 00:00:00,Adoption
3087,57897,2017-10-28 12:38:41,Litter relinquishment,C1710230,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Lobby,2017-11-11 00:00:00,Foster
3088,57897,2017-10-28 12:38:41,Litter relinquishment,C1710230,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Lobby,2017-12-06 00:00:00,Adoption
3089,57898,2017-10-28 12:38:41,Litter relinquishment,C1710231,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Feline Nursery,2017-11-11 00:00:00,Foster
3090,57898,2017-10-28 12:38:41,Litter relinquishment,C1710231,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Feline Nursery,2017-12-06 00:00:00,Adoption
3091,57899,2017-10-28 12:38:41,Litter relinquishment,C1710232,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Lobby,2017-11-11 00:00:00,Foster
3092,57899,2017-10-28 12:38:41,Litter relinquishment,C1710232,Domestic Short Hair,Multi colours,Cat,1 year 2 months.,Female,Lobby,2017-12-06 00:00:00,Adoption
3093,57900,2017-10-28 12:38:41,Litter relinquishment,C1710233,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Feline Nursery,2017-11-11 00:00:00,Foster
3094,57900,2017-10-28 12:38:41,Litter relinquishment,C1710233,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Feline Nursery,2017-12-06 00:00:00,Adoption
3095,57901,2017-10-28 12:38:41,Litter relinquishment,C1710234,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Lobby,2017-11-11 00:00:00,Foster
3096,57901,2017-10-28 12:38:41,Litter relinquishment,C1710234,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Lobby,2017-12-06 00:00:00,Adoption
3097,57902,2017-10-28 12:38:41,Litter relinquishment,C1710235,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Lobby,2017-11-11 00:00:00,Foster
3098,57902,2017-10-28 12:38:41,Litter relinquishment,C1710235,Domestic Short Hair,Black and other colours mix,Cat,1 year 2 months.,Male,Lobby,2017-12-10 00:00:00,Adoption
3099,57903,2017-10-28 12:38:41,Litter relinquishment,C1710236,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Feline Nursery,2017-11-11 00:00:00,Foster
3100,57903,2017-10-28 12:38:41,Litter relinquishment,C1710236,Domestic Short Hair,Grey,Cat,1 year 2 months.,Male,Feline Nursery,2017-12-06 00:00:00,Adoption
3101,57904,2017-10-28 13:51:27,Stray,C17101424,Domestic Short Hair,Black and other colours mix,Cat,1 year 5 months.,Female,Adoptable Cat Small Colony,2017-11-26 00:00:00,Adoption
3103,57907,2017-10-28 15:06:14,Incompatible with owner lifestyle,C17101426,Domestic Medium Hair,Black and other colours mix,Cat,1 year 4 months.,Male,Adoptable Cat Kennels,2017-11-08 00:00:00,Adoption
3106,57911,2017-10-28 16:47:28,Stray,C17101427,Domestic Short Hair,Black,Cat,3 years 1 month.,Male,Adoptable Cat Middle Colony,2017-11-15 00:00:00,Foster
3107,57911,2017-10-28 16:47:28,Stray,C17101427,Domestic Short Hair,Black,Cat,3 years 1 month.,Male,Adoptable Cat Middle Colony,2017-11-21 00:00:00,Adoption
3108,57912,2017-10-28 16:47:28,Stray,C17101428,Domestic Short Hair,Black,Cat,9 years 1 month.,Male,Adoptable Cat Middle Colony,2017-11-14 00:00:00,Adoption
3109,57914,2017-10-29 13:12:36,Stray,C17101430,Domestic Short Hair,Multi colours,Cat,1 year 4 months.,Female,Feline Nursery,2017-10-30 00:00:00,Reclaimed
3110,57915,2017-10-29 14:45:05,Incompatible with owner lifestyle,C17101431,Domestic Long Hair,Black and other colours mix,Cat,9 years 0 months.,Female,Adoptable Cat Middle Colony,2017-11-22 00:00:00,Adoption
3119,57920,2017-10-30 13:46:30,Stray,C17101433,Domestic Short Hair,Black,Cat,1 year 5 months.,Male,Stray Cats,2017-11-06 00:00:00,Transfer
3120,57921,2017-10-30 13:48:28,Stray,C17101434,Domestic Short Hair,Black and other colours mix,Cat,5 years 0 months.,Male,Stray Cats,2017-11-06 00:00:00,Transfer
3122,57923,2017-10-30 14:49:26,Stray,C17101435,Domestic Long Hair,Black and other colours mix,Cat,4 years 1 month.,Male,Adoptable Cat Kennels,2017-12-16 00:00:00,Adoption
3123,57924,2017-10-30 15:01:47,Stray,C1710237,Domestic Short Hair,White mix,Cat,6 weeks.,Male,Feline Nursery,2017-10-30 00:00:00,Foster
3125,57926,2017-10-31 13:03:24,Unable to Afford,C17101436,Domestic Long Hair,Grey,Cat,5 years 6 months.,Male,Adoptable Cat Big Colony,2017-12-04 00:00:00,Foster
3126,57926,2017-10-31 13:03:24,Unable to Afford,C17101436,Domestic Long Hair,Grey,Cat,5 years 6 months.,Male,Adoptable Cat Big Colony,2018-02-09 00:00:00,Adoption
