,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
519,55576,2017-04-20 16:11:56,Unsuitable Accommodation,C1704133,Domestic Short Hair,Designer colors,Cat,1 year 8 months.,Male,Special Care Cats,2017-06-17 00:00:00,Adoption
520,55577,2017-04-20 16:11:56,Unsuitable Accommodation,C1704134,Domestic Short Hair,Black and other colours mix,Cat,2 years 7 months.,Female,Adoptable Cat Big Colony,2017-04-27 00:00:00,Foster
521,55577,2017-04-20 16:11:56,Unsuitable Accommodation,C1704134,Domestic Short Hair,Black and other colours mix,Cat,2 years 7 months.,Female,Adoptable Cat Big Colony,2017-06-18 00:00:00,Adoption
522,55578,2017-04-20 16:15:15,Unsuitable Accommodation,C1704135,Domestic Short Hair,Black,Cat,1 year 7 months.,Male,Feline Nursery,2017-04-27 00:00:00,Foster
523,55578,2017-04-20 16:15:15,Unsuitable Accommodation,C1704135,Domestic Short Hair,Black,Cat,1 year 7 months.,Male,Feline Nursery,2017-06-14 00:00:00,Adoption
524,55579,2017-04-20 16:15:15,Unsuitable Accommodation,C1704136,Domestic Short Hair,Designer colors,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-04-21 00:00:00,Foster
525,55579,2017-04-20 16:15:15,Unsuitable Accommodation,C1704136,Domestic Short Hair,Designer colors,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-05-19 00:00:00,Foster
526,55579,2017-04-20 16:15:15,Unsuitable Accommodation,C1704136,Domestic Short Hair,Designer colors,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-07-07 00:00:00,Adoption
527,55580,2017-04-20 16:15:15,Unsuitable Accommodation,C1704137,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-04-21 00:00:00,Foster
528,55580,2017-04-20 16:15:15,Unsuitable Accommodation,C1704137,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-05-19 00:00:00,Foster
529,55580,2017-04-20 16:15:15,Unsuitable Accommodation,C1704137,Domestic Short Hair,Black and other colours mix,Cat,1 year 7 months.,Female,Adoptable Cat Kennels,2017-07-07 00:00:00,Adoption
530,55581,2017-04-20 16:15:15,Unsuitable Accommodation,C1704138,Domestic Short Hair,Brown,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-04-25 00:00:00,Foster
531,55581,2017-04-20 16:15:15,Unsuitable Accommodation,C1704138,Domestic Short Hair,Brown,Cat,1 year 8 months.,Male,Adoptable Cat Kennels,2017-05-27 00:00:00,Adoption
532,55582,2017-04-20 16:15:15,Unsuitable Accommodation,C1704139,Domestic Short Hair,Designer colors,Cat,1 year 8 months.,Female,Feline Nursery,2017-04-27 00:00:00,Foster
533,55582,2017-04-20 16:15:15,Unsuitable Accommodation,C1704139,Domestic Short Hair,Designer colors,Cat,1 year 8 months.,Female,Feline Nursery,2017-06-27 00:00:00,Adoption
534,55583,2017-04-20 16:15:15,Unsuitable Accommodation,C1704140,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-04-27 00:00:00,Foster
535,55583,2017-04-20 16:15:15,Unsuitable Accommodation,C1704140,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-06-09 00:00:00,Foster
536,55583,2017-04-20 16:15:15,Unsuitable Accommodation,C1704140,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-06-16 00:00:00,Foster
537,55583,2017-04-20 16:15:15,Unsuitable Accommodation,C1704140,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-06-17 00:00:00,Foster
538,55583,2017-04-20 16:15:15,Unsuitable Accommodation,C1704140,Domestic Short Hair,Black and other colours mix,Cat,1 year 8 months.,Male,Feline Nursery,2017-06-18 00:00:00,Adoption
